"Cor_AUC","var","Meta_Features"
0.122044552973603,0.0925910852251924,"MajorityClassSize"
-0.135322069942939,0.0210518980005727,"MaxNominalAttDistinctValues"
0.0620921289405453,0.0903143039506678,"MinorityClassSize"
0.0392872196829144,0.048229455274468,"NumberOfClasses"
-0.101629366929546,0.0215552798089152,"NumberOfFeatures"
0.170686374840676,0.0992775327679216,"NumberOfInstances"
0.0237779373772966,0.0220332698967941,"NumberOfInstancesWithMissingValues"
-0.000934139746749561,0.0191329174600151,"NumberOfMissingValues"
-0.105796684209947,0.0214838383868616,"NumberOfNumericFeatures"
0.084817382422884,0.0100823631916817,"NumberOfSymbolicFeatures"
